catagory_name,category_name_en,policy_name,policy_name_en,company,company_en,policy_premium,policy_description_benefit,reference
ประกันภัยการเดินทาง,Travel insurance,เดินทางคนเดียวหรือไปเป็นคู่ MSIG Travel Easy,Travel alone or as a couple with MSIG Travel Easy,"เอ็ม เอส ไอ จี ประกันภัย
",MSIG Insurance (Thailand) Public Company Limited,เบี้ยเริ่ม 190 บาท/วัน,"-The premium starts at 190 baht per day.
- Wherever you are in the world, you are protected against accidents and illnesses.
- Coverage for Covid-19 treatment is available both internationally and within Thailand, and you can make claims.
- There is a 24-hour global emergency assistance network.
- 100% refund if your visa is not approved.",https://www.tidlor.com/tidlor/media/source/pdf/msig-travel-ins-detail.pdf
ประกันภัยการเดินทาง,Travel insurance,เดินทางทั้งครอบครัวหรือเป็นกลุ่ม Travel Protect,Travel with your family or as a group with Travel Protect,ธนชาตประกันภัย,Thanachart Capital Public Company Limited (TCAP),เบี้ยเริ่ม 209 บาท/วัน,"-The premium starts at 209 baht per day.
- Parents buy, and as a bonus, children travel for free, up to a maximum of 2 people, anywhere in the world.
- Additional coverage options are available for purchase.
- Coverage for medical expenses abroad, up to 5 million.
- Claims can be made without any upfront payment.",https://www.tidlor.com/tidlor/media/source/pdf/tni-travel-ins-detail.pdf
ประกันภัยรถมอเตอร์ไซค์,Motorcycle insurance,ประกันภัยโจรกรรมรถมอเตอร์ไซค์,Motorcycle theft insurance,วิริยะประกันภัย,The Viriyah Insurance Public Company limited.,เบี้ยเริ่ม วันละไม่ถึงบาท,"-The premium starts at less than one baht per day.
-It covers the loss of the entire vehicle due to theft, robbery, hijacking, or accidents.
-It provides coverage for death or permanent disability resulting from any type of accident. 
-You can reach the Call Center 24 hours a day to address any issues.
-You can purchase it at any branch of Ngern Tid Lor.",https://www.tidlor.com/tidlor/media/source/pdf/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B9%82%E0%B8%88%E0%B8%A3%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A3%E0%B8%96%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3%E0%B8%A2%E0%B8%B2%E0%B8%99%E0%B8%A2%E0%B8%99%E0%B8%95%E0%B9%8C(%E0%B8%A5%E0%B8%B9%E0%B8%81%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B1%E0%B9%88%E0%B8%A7%E0%B9%84%E0%B8%9B).pdf
ประกันภัยรถมอเตอร์ไซค์,Motorcycle insurance,ประกันภัยรถมอเตอร์ไซค์ภาคสมัครใจ (ประเภท 2+ และ 3),Voluntary motorcycle insurance (Type 2+ and 3),ชับบ์สามัคคีประกันภัย,CHUBB SAMAGGI INSURANCE PUBLIC COMPANY LIMITED,เบี้ยเริ่มต้นวันละ 5 บาท,"-The premium starts at 5 baht per day.
-It provides coverage for personal life and property.
-It provides coverage for the driver up to 200,000 baht per occurrence.
-You can reach the Call Center 24 hours a day to address any issues.
-You can purchase it at any branch of Ngern Tid Lor.",https://www.tidlor.com/tidlor/media/source/pdf/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A0%E0%B8%B1%E0%B8%A2%E0%B8%A3%E0%B8%96%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3%E0%B8%A2%E0%B8%B2%E0%B8%99%E0%B8%A2%E0%B8%99%E0%B8%95%E0%B9%8C.pdf
ประกันมะเร็ง,Cancer insurance,ประกันมะเร็ง แผน A,"Cancer insurance, Plan A",ซมโปะ,Sompo Insurance (Thailand) Public Company Limited,เบี้ยเริ่มต้นวันละ 3 บาท,"-The premium starts at 3 baht per day.
-General cancer coverage is up to 100,000 baht.
-The maximum coverage for special medical treatment is 400,000 baht.
-Upon the diagnosis of cancer, the initial lump sum payment will be provided immediately without the need for a health examination.
-It covers nearly one million baht for cancer treatment.
-It also covers travel expenses and the cost of repeated examinations for treatment.",https://www.tidlor.com/th/insurance/cancer/cancertype/plan-a
ประกันมะเร็ง,Cancer insurance,ประกันมะเร็ง แผน B,"Cancer insurance, Plan B",ซมโปะ,Sompo Insurance (Thailand) Public Company Limited,เบี้ยเริ่มต้นวันละ 6 บาท,"--The premium starts at 6 baht per day.
-General cancer coverage is up to 200,000 baht.
-The maximum coverage for special medical treatment is 500,000 baht.
-Upon the diagnosis of cancer, the initial lump sum payment will be provided immediately without the need for a health examination.
-It covers nearly one million baht for cancer treatment.
-It also covers travel expenses and the cost of repeated examinations for treatment.",https://www.tidlor.com/th/insurance/cancer/cancertype/plan-b
ประกันมะเร็ง,Cancer insurance,ประกันมะเร็ง แผน C,"Cancer insurance, Plan C",ซมโปะ,Sompo Insurance (Thailand) Public Company Limited,เบี้ยเริ่มต้นวันละ 8 บาท,"-The premium starts at 8 baht per day.
-General cancer coverage is up to 300,000 baht.
-The maximum coverage for special medical treatment is 600,000 baht.
-Upon the diagnosis of cancer, the initial lump sum payment will be provided immediately without the need for a health examination.
-It covers nearly one million baht for cancer treatment.
-It also covers travel expenses and the cost of repeated examinations for treatment.",https://www.tidlor.com/th/insurance/cancer/cancertype/plan-c
ประกันอุบัติเหตุส่วนบุคคล,Personal accident insurance,ประกันอุบัติเหตุทวีคูณ,Personal accident insurance with multiplier coverage,ชับบ์สามัคคีประกันภัย,CHUBB SAMAGGI INSURANCE PUBLIC COMPANY LIMITED,เบี้ยเริ่ม วันละ 9 บาท,"-The premium starts at 9 baht per day.
-The maximum daily income compensation is 3,000 baht.
-The maximum coverage for medical expenses is 70,000 baht per occurrence.
-There is a 24-hour emergency assistance service for both car breakdowns and medical emergencies.
-There is no need for out-of-pocket payment as it includes leading private hospitals within the network.
-There is high income compensation.
-The insurance coverage is twice the amount for public accidents.",https://www.tidlor.com/tidlor/media/source/pdf/pa-index.pdf
ประกันอุบัติเหตุส่วนบุคคล,Personal accident insurance,ประกันอุบัติเหตุครอบครัวอุ่นใจ,Family personal accident insurance,ชับบ์สามัคคีประกันภัย,CHUBB SAMAGGI INSURANCE PUBLIC COMPANY LIMITED,เบี้ยเริ่ม วันละ 8 บาท,"-The premium starts at 8 baht per day.
-The coverage is for a maximum of two individuals, typically a parent and a child.
-The maximum daily income compensation covers the entire household and is up to 2,000 baht
-There is no need for out-of-pocket payment as it includes leading private hospitals within the network.
-There is high income compensation.
-The insurance coverage is twice the amount for public accidents.",https://www.tidlor.com/tidlor/media/source/pdf/pa-family.pdf
ประกันอุบัติเหตุส่วนบุคคล,Personal accident insurance,ประกันอุบัติเหตุสุดคุ้ม,Comprehensive personal accident insurance,เอฟดับบลิวดี,FWD INSURANCE PUBLIC COMPANY LIMITED,เบี้ยเริ่ม วันละ 1 บาท,"--The premium starts at 1 baht per day.
-In the event of an unexpected incident, the maximum insurance coverage is 400,000 baht.
-It provides coverage for both riding and being a passenger on motorcycles.
-There is no need for out-of-pocket payment as it includes leading private hospitals within the network.
-There is high income compensation.
-The insurance coverage is twice the amount for public accidents.",https://www.tidlor.com/tidlor/media/source/pdf/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%AD%E0%B8%B8%E0%B8%9A%E0%B8%B1%E0%B8%95%E0%B8%B4%E0%B9%80%E0%B8%AB%E0%B8%95%E0%B8%B8%E0%B8%AA%E0%B8%B8%E0%B8%94%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1.pdf
ประกันภัยบ้านและคอนโด,Home and condominium insurance,ประกันภัยคอนโด,Condominium insurance,เอ็ม เอส ไอ จี ประกันภัย,MSIG Insurance (Thailand) Public Company Limited,เบี้ยเริ่ม วันละ 5 บาท,"-The premium starts at 5 baht per day.
-The maximum coverage for water-related incidents in a condominium, such as burst pipes or water leakage, is up to 20,000 baht.
-Compensation for damages caused from our unit to other units is covered up to 500,000 baht.
-Damages to condominium windows are covered up to 50,000 baht.
-It provides comprehensive coverage for the entire house and its occupants.
-It covers incidents such as fire, flooding, and home invasion by burglars.",https://www.tidlor.com/Tidlor/media/source/pdf/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99.pdf
ประกันภัยบ้านและคอนโด,Home and condominium insurance,ประกันภัยบ้าน,Home insurance,เอ็ม เอส ไอ จี ประกันภัย,MSIG Insurance (Thailand) Public Company Limited,เบี้ยเริ่ม วันละ 8 บาท,"-The premium starts at 8 baht per day.
-The maximum coverage for home invasion by burglars is 1,000,000 baht.
-Compensation for damages caused from our home to other homes is covered up to 1,000,000 baht.
-Coverage for damages due to house flooding is up to 100,000 baht.
-There is coverage for temporary living expenses and compensation in case of death of a family member due to accidents.
-It provides comprehensive coverage for the entire house and its occupants.
-It covers incidents such as fire, flooding, and home invasion by burglars.",https://www.tidlor.com/Tidlor/media/source/pdf/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99.pdf
ประกันภัยบ้านและคอนโด,Home and condominium insurance,ประกันภัยบ้านติดล้อ,Home insurance (BaanTidLor),เอ็ม เอส ไอ จี ประกันภัย,MSIG Insurance (Thailand) Public Company Limited,เบี้ยเริ่ม วันละ 3 บาท,"--The premium starts at 3 baht per day.
-It provides comprehensive coverage for residents, the house, including windows attached to the building, and personal belongings within the house.
-Coverage for fire, lightning, and explosions is up to 5,000,000 baht per year.
-Compensation for damages caused from our home to other homes is covered up to 500,000 baht per year.
-Personal accident coverage is provided, with a maximum coverage limit of 100,000 baht per year.
-It provides comprehensive coverage for the entire house and its occupants.
-It covers incidents such as fire, flooding, and home invasion by burglars.",https://www.tidlor.com/tidlor/media/source/pdf/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A0%E0%B8%B1%E0%B8%A2%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%A5%E0%B9%89%E0%B8%AD.pdf
ประกันภัยบ้านและคอนโด,Home and condominium insurance,ประกันภัยบ้านแบบประหยัด,Budget home insurance,อลิอันซ์ อยุธยา,Allianz Ayudhya,เบี้ยเริ่ม วันละ 1 บาท,"-The premium starts at 1 baht per day.
-The maximum coverage for house fire is 300,000 baht.
-Coverage for storms, heavy rain, and house flooding is up to 10,000 baht per year.
-In the event of homelessness due to an incident, it provides accommodation expenses of 300 baht per day.
-The insurance can be purchased only at branches of 'Ngern Tid Lor'.
-It provides comprehensive coverage for the entire house and its occupants.
-It covers incidents such as fire, flooding, and home invasion by burglars.",https://www.tidlor.com/tidlor/media/source/pdf/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A0%E0%B8%B1%E0%B8%A2%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94(%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B8%A2%E0%B9%88%E0%B8%AD%E0%B8%A2)%E0%B8%AD%E0%B8%A5%E0%B8%B4%E0%B8%AD%E0%B8%B1%E0%B8%99%E0%B8%8B%E0%B9%8C.pdf
ต่อ พ.ร.บ.,Compulsory Third Party Insurance,ต่อ พ.ร.บ.,Compulsory Third Party Insurance (Motorcycle),เงินติดล้อ,Ngern Tid Lor,,"-The premium starts at 323.14 baht.
- new motorcycle
- second hand motorcycle
- motorcycle
- motorcycle Personal/Hired, Rent",https://www.tidlor.com/th/insurance/compulsory-third-party
ต่อ พ.ร.บ.,Compulsory Third Party Insurance,ต่อ พ.ร.บ.,Compulsory Third Party Insurance (Sedan / 4 Door Pickup),เงินติดล้อ,Ngern Tid Lor,,"-The premium starts at 645.21 baht.
- new Sedan / new 4 Door Pickup car
- Sedan / 4 Door Pickup
- Sedan Personal/Hired, Rent",https://www.tidlor.com/th/insurance/compulsory-third-party
ต่อ พ.ร.บ.,Compulsory Third Party Insurance,ต่อ พ.ร.บ.,Compulsory Third Party Insurance (Truck / Pickup 2 doors),เงินติดล้อ,Ngern Tid Lor,,"-The premium starts at 967.28 baht.
- Truck / Pickup 2 doors
- Truck (Personal)",https://www.tidlor.com/th/insurance/compulsory-third-party
ต่อ พ.ร.บ.,Compulsory Third Party Insurance,ต่อ พ.ร.บ.,Compulsory Third Party Insurance (More than 7 seats in vehicle),เงินติดล้อ,Ngern Tid Lor,,"-The premium starts at 1,182.35 baht.
- Van
- More than 7 seats in vehicle
- More than 7 seats in vehicle (Personal)",https://www.tidlor.com/th/insurance/compulsory-third-party